"Cust_id","Freq","Monetary","Recency","Inter_purchase_interval","weekday_spend","weekend_spend","weekday_visits","weekend_visits","Age_band"
45377,108,14007,2,0,10496,3511,78,30,"50-54 "
45506,5,456,5,1,213,243,2,3,">65 "
45605,12,7086,21,1,7086,0,12,0,"25-29 "
45674,9,2172,6,0,2172,0,9,0,"25-29 "
45711,4,421,6,6,421,0,4,0,"30-34 "
45735,2,6264,10,0,6264,0,2,0,"30-34 "
45902,45,9803,4,1,8818,985,37,8,"55-59 "
45957,50,9525,4,1,2257,7268,16,34,"50-54 "
45971,10,1787,18,2,516,1271,7,3,"30-34 "
45995,5,345,11,5,60,285,1,4,"30-34 "
46015,22,932,5,2,543,389,14,8,"45-49 "
46022,9,1123,5,4,0,1123,0,9,"50-54 "
46039,9,3468,16,1,3468,0,9,0,"35-39 "
46053,1,60,34,0,60,0,1,0,"50-54 "
46145,29,6876,7,1,6159,717,24,5,"35-39 "
46350,4,732,5,0,0,732,0,4,"50-54 "
46466,19,2619,7,1,1152,1467,7,12,"50-54 "
46633,51,6951,2,1,980,5971,5,46,"30-34 "
46855,8,878,12,4,299,579,3,5,"35-39 "
46909,2,146,33,0,0,146,0,2,"45-49 "
46916,3,3022,11,0,0,3022,0,3,"55-59 "
46923,21,2735,16,1,1010,1725,10,11,"25-29 "
47067,31,3236,5,1,1530,1706,12,19,"35-39 "
47241,23,2580,2,0,951,1629,13,10,">65 "
47319,2,722,7,0,722,0,2,0,"25-29 "
47340,75,47296,3,0,39045,8251,56,19,"45-49 "
47364,23,4130,25,0,1373,2757,10,13,"35-39 "
47388,4,7302,4,0,0,7302,0,4,"25-29 "
47395,6,895,39,0,0,895,0,6,"45-49 "
47487,5,852,40,0,324,528,4,1,"30-34 "
47531,55,5505,20,0,5505,0,55,0,"35-39 "
47548,14,4900,5,2,0,4900,0,14,"30-34 "
47692,8,673,33,0,0,673,0,8,"25-29 "
47722,36,5165,30,0,5165,0,36,0,"50-54 "
47784,1,99,19,0,0,99,0,1,"25-29 "
47951,16,5436,17,1,5436,0,16,0,"35-39 "
48019,1,112,36,0,112,0,1,0,"50-54 "
48057,5,260,28,0,260,0,5,0,"30-34 "
48064,1,3590,36,0,3590,0,1,0,"45-49 "
48101,6,552,12,4,109,443,2,4,"50-54 "
48149,6,855,5,0,0,855,0,6,">65 "
48217,32,4229,33,0,1979,2250,13,19,"35-39 "
48286,13,646,6,3,646,0,13,0,"50-54 "
48309,12,719,37,0,719,0,12,0,"45-49 "
48491,40,3380,3,1,2699,681,30,10,"25-29 "
48590,105,13733,14,0,8975,4758,60,45,"50-54 "
48668,18,1633,12,1,1607,26,17,1,"35-39 "
48866,8,3983,5,4,3503,480,7,1,"45-49 "
48910,8,353,20,2,78,275,3,5,"45-49 "
49047,3,344,17,1,344,0,3,0,"50-54 "
49061,9,919,23,0,919,0,9,0,"55-59 "
49108,2,871,16,0,871,0,2,0,"35-39 "
49122,57,16685,5,1,9827,6858,22,35,"35-39 "
49306,2,238,12,4,59,179,1,1,"35-39 "
49368,2,708,11,0,0,708,0,2,"40-44 "
49597,9,889,4,4,837,52,8,1,"40-44 "
49627,10,655,4,0,0,655,0,10,"45-49 "
49795,7,1069,27,0,1069,0,7,0,"35-39 "
50067,2,648,37,0,648,0,2,0,"30-34 "
50081,7,547,25,0,0,547,0,7,"30-34 "
50111,1,1632,4,0,0,1632,0,1,">65 "
50142,13,977,4,0,0,977,0,13,"30-34 "
50494,14,6391,8,2,516,5875,5,9,"60-64 "
50548,9,1140,19,0,0,1140,0,9,"40-44 "
50821,3,226,5,0,0,226,0,3,"25-29 "
50920,40,7974,12,1,5414,2560,29,11,"30-34 "
50968,6,554,18,0,0,554,0,6,"45-49 "
50982,19,1019,27,1,1019,0,19,0,"40-44 "
51040,60,6344,12,0,3943,2401,34,26,"30-34 "
51347,18,1144,11,1,0,1144,0,18,"40-44 "
51781,1,3500,18,0,0,3500,0,1,"35-39 "
52078,3,2162,33,0,0,2162,0,3,"50-54 "
52283,6,865,32,0,0,865,0,6,"45-49 "
52917,2,46,26,0,0,46,0,2,"30-34 "
52962,6,7543,22,1,7543,0,6,0,"30-34 "
52979,13,2402,19,1,626,1776,6,7,"50-54 "
53488,7,820,29,1,820,0,7,0,"60-64 "
53518,19,1614,13,1,649,965,8,11,"25-29 "
53617,22,1903,2,1,885,1018,12,10,"35-39 "
53938,9,1388,26,0,0,1388,0,9,"25-29 "
54249,32,5992,13,1,3934,2058,29,3,">65 "
54362,18,1692,24,0,1692,0,18,0,"45-49 "
54522,1,436,26,0,0,436,0,1,">65 "
55024,5,407,15,0,407,0,5,0,"55-59 "
55079,4,724,10,0,724,0,4,0,"55-59 "
55406,13,5553,10,1,5553,0,13,0,"45-49 "
55444,8,693,37,0,693,0,8,0,"25-29 "
56144,11,1423,24,0,1423,0,11,0,"45-49 "
56168,23,1904,7,0,1904,0,23,0,"35-39 "
56243,15,2297,39,0,0,2297,0,15,"35-39 "
56540,18,4990,14,1,188,4802,1,17,"35-39 "
56564,12,2279,3,0,2279,0,12,0,"40-44 "
56588,6,377,34,0,377,0,6,0,"25-29 "
56595,56,6070,12,0,1902,4168,17,39,"40-44 "
56601,14,8285,8,2,8285,0,14,0,"45-49 "
56915,22,4518,4,2,1115,3403,13,9,"30-34 "
56922,20,2739,7,1,371,2368,4,16,"30-34 "
57028,13,2880,16,2,2880,0,13,0,"35-39 "
57141,3,1551,23,0,1551,0,3,0,"60-64 "
57172,3,1144,17,0,1144,0,3,0,"40-44 "
57271,1,36,16,0,36,0,1,0,">65 "
57288,2,151,7,0,151,0,2,0,"40-44 "
57486,46,3357,6,1,1444,1913,14,32,"40-44 "
57493,10,1354,42,0,1354,0,10,0,"45-49 "
57509,30,36461,15,1,35765,696,27,3,"40-44 "
57547,8,278,12,1,104,174,3,5,"30-34 "
57677,9,988,15,2,988,0,9,0,"45-49 "
57707,2,121,7,0,121,0,2,0,"45-49 "
57738,12,2449,21,2,1253,1196,5,7,"50-54 "
58148,24,4853,18,1,1744,3109,19,5,"30-34 "
58230,1,140,9,0,140,0,1,0,"55-59 "
58452,1,342,3,0,342,0,1,0,"35-39 "
58490,2,10008,5,0,0,10008,0,2,"30-34 "
58551,34,3909,5,1,1676,2233,8,26,"45-49 "
58568,14,1114,18,0,0,1114,0,14,"35-39 "
58698,44,10013,5,1,7085,2928,23,21,"35-39 "
58759,16,2004,19,0,1898,106,14,2,"45-49 "
58766,6,8555,2,1,8555,0,6,0,"45-49 "
58827,7,1364,4,0,0,1364,0,7,">65 "
58865,15,3854,2,2,972,2882,1,14,"45-49 "
59138,22,2223,8,2,2223,0,22,0,"30-34 "
59398,5,4141,14,1,4141,0,5,0,"40-44 "
59411,6,1150,10,5,557,593,3,3,"45-49 "
59497,5,620,5,3,149,471,1,4,"35-39 "
59527,49,4681,6,1,1935,2746,30,19,"30-34 "
59831,9,8295,32,0,0,8295,0,9,"25-29 "
59848,3,196,32,0,0,196,0,3,"30-34 "
59992,12,1869,32,0,0,1869,0,12,"45-49 "
60172,5,4528,42,0,4528,0,5,0,"35-39 "
60400,12,2474,34,0,2474,0,12,0,"40-44 "
60554,46,5761,2,1,2535,3226,22,24,"35-39 "
60592,4,977,38,0,977,0,4,0,"30-34 "
60776,2,663,40,0,0,663,0,2,"60-64 "
61681,19,4878,23,0,4462,416,16,3,"35-39 "
61704,10,636,5,2,589,47,8,2,"40-44 "
61728,6,769,35,0,769,0,6,0,"50-54 "
61742,3,153,28,0,153,0,3,0,"45-49 "
61773,1,105,31,0,105,0,1,0,"45-49 "
62299,7,3517,19,3,238,3279,3,4,"25-29 "
62817,10,1126,20,0,1126,0,10,0,"40-44 "
63111,14,3461,34,0,3461,0,14,0,"55-59 "
63227,11,1119,37,0,1119,0,11,0,"50-54 "
63326,16,936,14,2,498,438,9,7,"35-39 "
63449,4,12893,3,0,12125,768,1,3,"45-49 "
64033,15,1928,19,0,0,1928,0,15,"45-49 "
64170,3,266,24,0,266,0,3,0,"50-54 "
64217,28,6678,7,0,6678,0,28,0,"50-54 "
64637,9,455,11,0,0,455,0,9,"30-34 "
64873,17,1940,5,0,0,1940,0,17,"45-49 "
64897,8,1568,4,0,0,1568,0,8,"50-54 "
65245,7,887,8,1,887,0,7,0,"55-59 "
65283,12,3610,2,0,3610,0,12,0,"40-44 "
65931,8,1125,14,0,1125,0,8,0,"40-44 "
66020,7,874,5,0,0,874,0,7,"30-34 "
66037,15,1473,39,0,0,1473,0,15,"45-49 "
66259,15,1594,11,0,0,1594,0,15,"45-49 "
66594,16,4743,19,1,4413,330,12,4,"40-44 "
66662,18,2251,8,2,1330,921,9,9,"30-34 "
66693,35,5978,25,0,0,5978,0,35,"25-29 "
66730,3,492,10,8,492,0,3,0,"35-39 "
66761,6,4049,31,0,4049,0,6,0,"35-39 "
67843,2,274,32,0,0,274,0,2,"50-54 "
67942,3,586,19,0,0,586,0,3,"30-34 "
68024,15,1193,41,0,1193,0,15,0,"55-59 "
68079,24,7759,6,1,5191,2568,13,11,"40-44 "
68086,3,630,34,0,630,0,3,0,"60-64 "
68192,16,2012,4,0,0,2012,0,16,"45-49 "
68383,16,2454,16,0,2454,0,16,0,"45-49 "
68468,30,6146,21,0,6146,0,30,0,"35-39 "
68604,17,2099,4,2,131,1968,4,13,"45-49 "
68956,3,2081,35,0,2081,0,3,0,"45-49 "
69137,45,5926,11,0,1336,4590,10,35,"35-39 "
69946,8,3270,38,0,3270,0,8,0,"40-44 "
69953,8,683,15,0,683,0,8,0,"45-49 "
70102,4,925,15,1,535,390,1,3,"40-44 "
70232,33,2721,25,0,0,2721,0,33,"35-39 "
70249,9,1068,10,3,68,1000,1,8,"40-44 "
70560,13,1509,12,0,0,1509,0,13,"45-49 "
70584,31,8510,11,1,1523,6987,6,25,"45-49 "
70591,10,14817,22,2,5793,9024,8,2,"45-49 "
70607,3,184,29,0,184,0,3,0,"40-44 "
70621,42,16383,32,0,0,16383,0,42,"45-49 "
70669,3,836,32,0,0,836,0,3,"35-39 "
70805,5,1970,17,4,1949,21,4,1,"25-29 "
70928,11,1072,35,0,1072,0,11,0,"55-59 "
71062,6,399,8,1,74,325,2,4,"35-39 "
71093,76,25228,27,0,24731,497,67,9,"30-34 "
71178,70,7265,6,0,6858,407,65,5,"35-39 "
71284,39,5706,2,1,5149,557,31,8,"40-44 "
71345,28,4091,13,0,4091,0,28,0,"35-39 "
71390,2,264,16,0,264,0,2,0,"55-59 "
72045,25,3044,4,1,2948,96,23,2,"30-34 "
72304,27,3133,19,0,0,3133,0,27,"35-39 "
72892,11,603,19,0,0,603,0,11,"40-44 "
73080,8,1092,34,0,1092,0,8,0,"35-39 "
73639,3,752,25,0,0,752,0,3,"40-44 "
73813,29,1863,4,1,1634,229,25,4,"35-39 "
73837,3,153,4,0,0,153,0,3,"55-59 "
73868,2,1112,15,0,1112,0,2,0,"30-34 "
74209,5,985,25,0,0,985,0,5,"40-44 "
74216,9,1032,19,0,0,1032,0,9,"55-59 "
74315,7,1021,12,0,0,1021,0,7,"45-49 "
74353,30,4364,2,1,2151,2213,15,15,"45-49 "
74445,29,2146,5,1,469,1677,10,19,"40-44 "
74469,4,202,18,0,0,202,0,4,"40-44 "
74568,5,1133,33,0,0,1133,0,5,"50-54 "
74612,23,17090,5,2,1509,15581,13,10,"35-39 "
74650,9,843,39,0,0,843,0,9,"40-44 "
74674,4,333,18,0,0,333,0,4,"40-44 "
74704,15,2034,25,0,0,2034,0,15,"45-49 "
74711,25,3505,25,0,1748,1757,10,15,"50-54 "
74797,17,2808,11,2,0,2808,0,17,"45-49 "
74803,2,2500,7,8,2500,0,2,0,"45-49 "
74872,3,353,34,0,353,0,3,0,"40-44 "
74889,1,129,4,0,0,129,0,1,">65 "
74902,7,544,20,0,544,0,7,0,"50-54 "
74940,4,1600,10,0,1600,0,4,0,">65 "
75008,68,24082,5,1,11958,12124,34,34,"45-49 "
75169,40,3302,2,1,3302,0,40,0,">65 "
75275,47,7437,5,1,4573,2864,13,34,"45-49 "
75305,28,6132,2,1,5479,653,20,8,"45-49 "
75343,18,1616,5,1,885,731,9,9,"40-44 "
75367,10,1792,2,4,1750,42,9,1,">65 "
75374,22,5842,14,1,961,4881,6,16,"60-64 "
75404,12,3116,4,2,2241,875,8,4,"60-64 "
75435,5,242,40,0,0,242,0,5,"50-54 "
75459,6,388,18,3,242,146,3,3,"30-34 "
75602,43,6287,10,1,4036,2251,27,16,"35-39 "
75664,19,2838,8,1,1277,1561,9,10,">65 "
75800,30,7477,22,0,7477,0,30,0,"45-49 "
75879,13,1767,11,2,0,1767,0,13,"25-29 "
75930,5,2181,30,2,2181,0,5,0,"50-54 "
75954,37,3404,4,1,2233,1171,22,15,"60-64 "
75985,28,4032,41,0,4032,0,28,0,"35-39 "
76036,10,855,9,0,855,0,10,0,"45-49 "
76043,11,1158,40,0,0,1158,0,11,"35-39 "
76050,35,5139,15,1,5139,0,35,0,"45-49 "
76180,4,1993,9,8,320,1673,2,2,"30-34 "
76227,11,1195,20,0,1195,0,11,0,"45-49 "
76319,2,125,19,0,0,125,0,2,"50-54 "
76371,15,1195,25,0,0,1195,0,15,"30-34 "
76623,9,1007,36,0,1007,0,9,0,"35-39 "
76654,12,670,13,2,670,0,12,0,"60-64 "
77071,4,473,12,4,384,89,2,2,"45-49 "
77118,9,1946,8,4,1946,0,9,0,"25-29 "
77279,9,2675,39,0,0,2675,0,9,"60-64 "
78436,3,554,39,0,0,554,0,3,"40-44 "
78641,3,1508,26,0,0,1508,0,3,"35-39 "
78771,28,5883,4,1,0,5883,0,28,"35-39 "
80729,12,777,40,0,0,777,0,12,"45-49 "
80842,60,5015,4,1,3772,1243,46,14,"45-49 "
80897,11,1114,6,2,299,815,7,4,"40-44 "
81054,3,1662,23,0,1662,0,3,0,"55-59 "
81252,11,396,30,1,267,129,10,1,"60-64 "
81269,14,1049,21,1,598,451,8,6,"40-44 "
81344,3,25461,16,0,25461,0,3,0,"30-34 "
81375,3,330,5,9,158,172,1,2,">65 "
81412,135,32816,2,0,23409,9407,89,46,"45-49 "
81467,10,1428,11,0,0,1428,0,10,"40-44 "
81757,10,3462,11,2,0,3462,0,10,"35-39 "
81894,15,1911,35,0,1911,0,15,0,"50-54 "
81979,8,388,38,0,388,0,8,0,"35-39 "
81986,13,780,42,0,780,0,13,0,"40-44 "
82099,16,1700,12,0,0,1700,0,16,"45-49 "
82174,14,8492,2,2,8262,230,8,6,">65 "
82389,3,127,22,0,127,0,3,0,"45-49 "
82464,4,441,5,0,0,441,0,4,"50-54 "
82723,7,2895,42,0,2895,0,7,0,"40-44 "
82990,39,5562,19,1,79,5483,1,38,"35-39 "
83010,11,2787,28,0,2787,0,11,0,"35-39 "
83089,2,354,17,0,354,0,2,0,"55-59 "
83102,25,4073,17,0,4073,0,25,0,"55-59 "
83140,5,1363,28,1,1363,0,5,0,">65 "
83188,10,2144,19,0,0,2144,0,10,"45-49 "
83201,1,36,17,0,36,0,1,0,"35-39 "
83249,4,1013,8,0,1013,0,4,0,"35-39 "
83638,13,1214,4,2,684,530,7,6,"50-54 "
83768,9,1848,19,0,0,1848,0,9,"50-54 "
84185,8,1804,20,3,1804,0,8,0,"25-29 "
84253,11,1586,42,0,1586,0,11,0,"45-49 "
84277,1,339,38,0,339,0,1,0,"45-49 "
84307,20,13516,7,1,13516,0,20,0,"25-29 "
84451,7,1620,27,0,1620,0,7,0,"35-39 "
84550,5,1057,21,0,1057,0,5,0,"35-39 "
84697,17,1696,4,2,97,1599,3,14,">65 "
85045,1,34,11,0,0,34,0,1,"45-49 "
85168,7,588,4,3,36,552,1,6,"35-39 "
85175,15,1324,18,0,0,1324,0,15,"40-44 "
85229,29,1322,8,1,1322,0,29,0,"40-44 "
85335,1,36,19,0,0,36,0,1,"40-44 "
86059,17,6586,9,2,1028,5558,3,14,"40-44 "
86240,4,561,30,0,321,240,3,1,"30-34 "
